Details,Translate_Details,Area,Contractor,Type_of_finding,Topic,Clean_Details,Clean_Translate_Details
ช่องเปิดนั่งร้านเป็นไปตามข้อกำหนดแขวนTagเขียว,The scaffolding opening meets the Green Tag hanging requirements.,HOT,RNC,Unsafe Condition,Scaffolding,ช่องเปิดนั่งร้านเป็นไปตามข้อกำหนดแขวนTagเขียว,The scaffolding opening meets the Green Tag hanging requirements.
ช่องเปิดหลังคาเตาปิดกั้นBarricadeมีการทำงานHWI,Barricade blocking furnace roof openings have HWI functionality.,HOT,RNC,Unsafe Condition,Work at height,ช่องเปิดหลังคาเตาปิดกั้นBarricadeมีการทำงานHWI,Barricade blocking furnace roof openings have HWI functionality.
ช่องเปิดหลังคาเตาปิดกั้นBarricadeมีการทำงานRemovemanifoldY-piece,Barricade blocking furnace roof openings are functional RemovemanifoldY-piece,HOT,RNC,Unsafe Condition,Work at height,ช่องเปิดหลังคาเตาปิดกั้นBarricadeมีการทำงานRemovemanifoldY-piece,Barricade blocking furnace roof openings are functional RemovemanifoldY-piece
ช่องเปิดบริเวณChanelTLE,The opening in the ChanelTLE area,HOT,RNC,Unsafe Condition,Work at height,ช่องเปิดบริเวณChanelTLE,The opening in the ChanelTLE area
ช่องเปิดบริเวณTLE,TLE openings,HOT,RNC,Unsafe Condition,Work at height,ช่องเปิดบริเวณTLE,TLE openings
ช่องเปิดบริเวณTLEเสี่ยงการตกที่สูง,The opening in the TLE area is at high risk of falling.,HOT,RNC,Unsafe Condition,Work at height,ช่องเปิดบริเวณTLEเสี่ยงการตกที่สูง,The opening in the TLE area is at high risk of falling.
ช่องเปิดบริเวณจุดปฏิบัติงานprotectHardBarricadeconcernคนตก,Openings at the point of operation protectHardBarricadeconcern people fall.,HOT,RNC,Unsafe Condition,Work at height,ช่องเปิดบริเวณจุดปฏิบัติงานprotectHardBarricadeconcernคนตก,Openings at the point of operation protectHardBarricadeconcern people fall.
ช่องเปิดบริเวณจุดปฏิบัติงานprotectแผ่นนั่งร้านconcernอุปกรณ์ตก,The opening at the operating point protects the scaffolding sheet concert the equipment from falling.,HOT,RNC,Unsafe Condition,Work at height,ช่องเปิดบริเวณจุดปฏิบัติงานprotectแผ่นนั่งร้านconcernอุปกรณ์ตก,The opening at the operating point protects the scaffolding sheet concert the equipment from falling.
ช่องเปิดบริเวณติดตั้งHeaderBeam>>รอติดตั้งHeaderBeamแล้วเสร็จติดตั้งHardBarricade,Open box at the installation of HeaderBeam>> Wait for the HeaderBeam installation and finish installing HardBarricade.,HOT,RNC,Unsafe Condition,Work at height,ช่องเปิดบริเวณติดตั้งHeaderBeam>>รอติดตั้งHeaderBeamแล้วเสร็จติดตั้งHardBarricade,Open box at the installation of HeaderBeam>> Wait for the HeaderBeam installation and finish installing HardBarricade.
ช่องเปิดบริเวณหลังคาเตา,Openings on the roof of the stove,HOT,RNC,Unsafe Condition,Work at height,ช่องเปิดบริเวณหลังคาเตา,Openings on the roof of the stove
ช่องเปิดชั้นเปิดทิ้งทำงานดึงTubePass,"Open floor openings work, pull TubePass.",HOT,RNC,Unsafe Condition,Work at height,ช่องเปิดชั้นเปิดทิ้งทำงานดึงTubePass,"Open floor openings work, pull TubePass."
ช่างปูแผ่นนั่งร้านทำงานช่องCoilผูกมัดแผ่นนั่งร้านลวด,Mechanic paving scaffolding sheet working coil channel bonded wire scaffolding sheet,HOT,RNC,Unsafe Condition,Scaffolding,ช่างปูแผ่นนั่งร้านทำงานช่องCoilผูกมัดแผ่นนั่งร้านลวด,Mechanic paving scaffolding sheet working coil channel bonded wire scaffolding sheet
ด้ามจับค้อนเป็นไม้,The handle of the hammer is wooden.,HOT,RNC,Unsafe Condition,Hot Work,ด้ามจับค้อนเป็นไม้,The handle of the hammer is wooden.
ต่อสายGround  ร่วมกับGroundPlant,Connect the Ground cable with GroundPlant.,HOT,RNC,Unsafe Condition,Electrical & Grounding,ต่อสายGround  ร่วมกับGroundPlant,Connect the Ground cable with GroundPlant.
ติดตั้งRackสายไฟกีดขวางHoseBoxFirehydrant,Install a HoseBox Firehydrant Barrier Cable Rack,HOT,RNC,Unsafe Condition,Housekeeping,ติดตั้งRackสายไฟกีดขวางHoseBoxFirehydrant,Install a HoseBox Firehydrant Barrier Cable Rack
ติดตั้งไฟแสงสว่างหลอดไฟสายไฟวางพื้นที่น้ำขังเปียกชื้น,"Install lights, light bulbs, wires, place in wet areas.",HOT,RNC,Unsafe Condition,Electrical & Grounding,ติดตั้งไฟแสงสว่างหลอดไฟสายไฟวางพื้นที่น้ำขังเปียกชื้น,"Install lights, light bulbs, wires, place in wet areas."
ติดตั้งนั่งร้านบริเวณช่องทางเดินปิดล้อมพื้นทีมีป้ายเตือน,"Install scaffolding around walkways, enclosed floors with warning signs.",HOT,RNC,Unsafe Condition,Scaffolding,ติดตั้งนั่งร้านบริเวณช่องทางเดินปิดล้อมพื้นทีมีป้ายเตือน,"Install scaffolding around walkways, enclosed floors with warning signs."
ติดตั้งนั่งร้านเคลื่อนย้ายTrolleybeamกีดขวางทางเดิน,Install scaffolding to move the Trolleybeam to block the walkway.,HOT,RNC,Unsafe Condition,Scaffolding,ติดตั้งนั่งร้านเคลื่อนย้ายTrolleybeamกีดขวางทางเดิน,Install scaffolding to move the Trolleybeam to block the walkway.
ติดตั้งบันไดนั่งร้านทางเข้า,Install the entrance scaffolding ladder,HOT,RNC,Unsafe Condition,Scaffolding,ติดตั้งบันไดนั่งร้านทางเข้า,Install the entrance scaffolding ladder
ตีTubeถอดทำให้supporttubeตัวเคลื่อนตัวทำให้tubeหลุดTLEแนะนำดึงTubeตัวหลุดขึ้นไปlockU-bolt  ให้ติดตั้งนั่งร้านด้านล่าง,"Hit the tube to make the supporttube move, causing the tube to come loose. TLE recommends pulling the tube up to lockU-bolt. Let the scaffolding be installed below.",HOT,RNC,Unsafe Condition,Installation/ Alignment,ตีTubeถอดทำให้supporttubeตัวเคลื่อนตัวทำให้tubeหลุดTLEแนะนำดึงTubeตัวหลุดขึ้นไปlockU-bolt  ให้ติดตั้งนั่งร้านด้านล่าง,"Hit the tube to make the supporttube move, causing the tube to come loose. TLE recommends pulling the tube up to lockU-bolt. Let the scaffolding be installed below."
ถอดHardBarricadeด้านหน้าทางเข้าManhole,Remove the HardBarricade in front of the entrance to the Manhole.,HOT,RNC,Unsafe Condition,Work at height,ถอดHardBarricadeด้านหน้าทางเข้าManhole,Remove the HardBarricade in front of the entrance to the Manhole.
ถอดInsulationบริเวณConeTLEpassแกะDropconeTLEมีการRapป้องกันการฟุ้งกระจาย,Remove the Insulation area ConeTLEpass Unpack DropconeTLE There is a rap to prevent scattering.,HOT,RNC,Unsafe Condition,Insulation,ถอดInsulationบริเวณConeTLEpassแกะDropconeTLEมีการRapป้องกันการฟุ้งกระจาย,Remove the Insulation area ConeTLEpass Unpack DropconeTLE There is a rap to prevent scattering.
ตกช่องบันได,fall down stairs,HOT,RNC,Unsafe Condition,Scaffolding,ตกช่องบันได,fall down stairs
ถังLPGมีFoggyChecklist,LPG tanks have FoggyChecklist,HOT,RNC,Unsafe Condition,Hot Work,ถังLPGมีFoggyChecklist,LPG tanks have FoggyChecklist
